"_id","timestamp","device_id","touch_app","touch_action","touch_action_text","scroll_items","scroll_from_index","scroll_to_index"
2647,1588075717526,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.google.android.gm","ACTION_AWARE_TOUCH_CLICKED","[Aaa aaaaaaa]",-1,-1,-1
2648,1588075759085,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","android","ACTION_AWARE_TOUCH_CLICKED","[AAAA AAAA]",-1,-1,-1
2649,1588075799571,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.google.android.gm","ACTION_AWARE_TOUCH_CLICKED","[Aaaaa aaa]",-1,-1,-1
2650,1588075930080,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.google.android.gm","ACTION_AWARE_TOUCH_CLICKED","[]",-1,-1,-1
2651,1588075939561,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.google.android.gm","ACTION_AWARE_TOUCH_CLICKED","[Aaaa]",-1,-1,-1
2652,1588075982499,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.google.android.gm","ACTION_AWARE_TOUCH_CLICKED","[]",-1,-1,-1
2653,1588075983566,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.google.android.gm","ACTION_AWARE_TOUCH_CLICKED","[AA]",-1,-1,-1
2654,1588076003666,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.google.android.googlequicksearchbox","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaa* 1*A]",-1,-1,-1
2655,1588076007952,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.google.android.googlequicksearchbox","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",3,2,2
2656,1588076014423,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.android.systemui","ACTION_AWARE_TOUCH_SCROLLED_UP","",-1,-1,-1
2657,1588076243576,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","org.mozilla.firefox","ACTION_AWARE_TOUCH_CLICKED","[]",-1,-1,-1
2658,1588076246385,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","org.mozilla.firefox","ACTION_AWARE_TOUCH_CLICKED","[Aaaa]",-1,-1,-1
2659,1588076248175,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","org.mozilla.firefox","ACTION_AWARE_TOUCH_CLICKED","[aaaaaaaaa*a Aaaaaaa aa Aaaaaa*AaaAaaa*Aaa]",-1,-1,-1
2660,1588076248951,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","org.mozilla.firefox","ACTION_AWARE_TOUCH_CLICKED","[]",-1,-1,-1
2661,1588076394526,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","org.mozilla.firefox","ACTION_AWARE_TOUCH_CLICKED","[]",-1,-1,-1
2662,1588076397751,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","android","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaa* Aaa aa Aaaaaaa]",-1,-1,-1
2663,1588076398862,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","org.mozilla.firefox","ACTION_AWARE_TOUCH_CLICKED","[Aaaa aa aaaaa aaaaaaa]",-1,-1,-1
