"_id","timestamp","device_id","cid","lac","psc","signal_strength","bit_error_rate"
547,1588461896056,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050306,44798,0,99,2147483647
548,1588461905714,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
549,1588462013721,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050306,44798,0,99,2147483647
550,1588462050628,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
551,1588462082641,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
552,1588463964972,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
553,1588465852050,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
554,1588469582646,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
555,1588473406899,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
556,1588475276060,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
557,1588477081312,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
558,1588478881021,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
559,1588480719954,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
560,1588482599996,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
561,1588486163960,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
562,1588493203332,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
563,1588507489994,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
564,1588510146419,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
565,1588511985676,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
566,1588513762709,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
567,1588517802295,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
568,1588521084607,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
569,1588522872489,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
570,1588524658084,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
571,1588526474180,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
572,1588528283821,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
573,1588530075842,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
574,1588531883511,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
575,1588533687888,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
576,1588534551503,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6051331,44798,0,99,2147483647
